"faculty_id";"first_name";"last_name";"email";"degree";"qualification";"expertise_sub";"designation"
1;"Shafaat";"Bazaz";"dean.scit@bnu.edu.pk";"Information Systems";"PhD";"Computer Architecture";"Dean"
2;"Shahid";"Iqbal";"shahid.iqbal@bnu.edu.pk";"Data Science";"PhD";"Database Systems";"HOD"
3;"Rashid";"Hassan";"rashid.hassan@bnu.edu.pk";"Data Science";"BS";"Machine Learning";"HOD"
4;"Nazia";"Hassan";"nazia.hassan@bnu.edu.pk";"Computer Science";"MSc";"Computer Networks";"Professor"
5;"Fahad";"Khan";"fahad.khan@bnu.edu.pk";"Data Science";"MPhil";"Data Science";"Professor"
6;"Shahid";"Zaman";"shahid.zaman@bnu.edu.pk";"Mathematics";"BS";"Multivariable Calculus";"Professor"
7;"Shahid";"Ali";"shahid.ali@bnu.edu.pk";"Data Science";"BS";"Database Systems";"Professor"
8;"Saima";"Butt";"saima.butt@bnu.edu.pk";"Computer Science";"MSc";"Programming Languages";"Professor"
9;"Yasir";"Chaudhry";"yasir.chaudhry@bnu.edu.pk";"Information Systems";"BS";"Artificial Intelligence";"Lecturer"
10;"Hira";"Rana";"hira.rana@bnu.edu.pk";"Computer Science";"PhD";"Computer Networks";"Lecturer"
11;"Shahid";"Zaman";"shahid.zaman@bnu.edu.pk";"Computer Science";"MSc";"Artificial Intelligence";"Lecturer"
12;"Yasir";"Rana";"yasir.rana@bnu.edu.pk";"Computer Science";"MS";"Cybersecurity";"Lecturer"
13;"Asim";"Qureshi";"asim.qureshi@bnu.edu.pk";"Information Technology";"MPhil";"Web Development";"Lecturer"
14;"Kiran";"Iqbal";"kiran.iqbal@bnu.edu.pk";"Computer Science";"MS";"Programming Languages";"Lecturer"
15;"Asim";"Tariq";"asim.tariq@bnu.edu.pk";"Computer Science";"PhD";"Cybersecurity";"Lecturer"
16;"Adeel";"Chaudhry";"adeel.chaudhry@bnu.edu.pk";"Computer Science";"MSc";"Web Development";"Lecturer"
17;"Asim";"Hassan";"asim.hassan@bnu.edu.pk";"Data Science";"MSc";"Database Systems";"Lecturer"
18;"Asim";"Ali";"asim.ali@bnu.edu.pk";"Data Science";"MSc";"Machine Learning";"Lecturer"
19;"Imran";"Chaudhry";"imran.chaudhry@bnu.edu.pk";"Computer Science";"BS";"Web Development";"Lab Attender"
20;"Yasir";"Iqbal";"yasir.iqbal@bnu.edu.pk";"Data Science";"MPhil";"Machine Learning";"Lab Attender"
21;"Zubair";"Qureshi";"zubair.qureshi@bnu.edu.pk";"Information Systems";"PhD";"Computer Networks";"Lab Attender"
22;"Ayesha";"Khan";"ayesha.khan@bnu.edu.pk";"Computer Science";"PhD";"Data Structures";"Professor"
23;"Bilal";"Ahmed";"bilal.ahmed@bnu.edu.pk";"Software Engineering";"PhD";"Software Testing";"Professor"
24;"Farhan";"Malik";"farhan.malik@bnu.edu.pk";"Information Technology";"MPhil";"Cloud Computing";"Lecturer"
25;"Ghazala";"Riaz";"ghazala.riaz@bnu.edu.pk";"Computer Science";"PhD";"Computer Graphics";"Professor"
26;"Hammad";"Shah";"hammad.shah@bnu.edu.pk";"Data Science";"MS";"Big Data Analytics";"Lecturer"
27;"Iqra";"Naz";"iqra.naz@bnu.edu.pk";"Computer Science";"PhD";"Human-Computer Interaction";"Professor"
28;"Junaid";"Akram";"junaid.akram@bnu.edu.pk";"Software Engineering";"MPhil";"Agile Development";"Lecturer"
29;"Kashif";"Raza";"kashif.raza@bnu.edu.pk";"Information Systems";"PhD";"Business Intelligence";"Professor"
30;"Lubna";"Khalid";"lubna.khalid@bnu.edu.pk";"Computer Science";"PhD";"Natural Language Processing";"Professor"
