student_id,first_name,last_name,email,degree,semester
F2021-009,Junaid,Khan,f2021-009@bnu.edu.pk,Management Business Computing,8
F2021-034,Maha,Malik,f2021-034@bnu.edu.pk,Computer Science,8
F2021-041,Amina,Zahid,f2021-041@bnu.edu.pk,Software Engineering,8
F2021-045,Fatima,Qureshi,f2021-045@bnu.edu.pk,Software Engineering,8
F2021-062,Osama,Zahid,f2021-062@bnu.edu.pk,Management Business Computing,8
F2021-071,Ali,Zahid,f2021-071@bnu.edu.pk,Computer Science,8
F2021-091,Ali,Rafiq,f2021-091@bnu.edu.pk,Software Engineering,8
F2021-101,Amina,Qureshi,f2021-101@bnu.edu.pk,Management Business Computing,8
F2021-119,Hassan,Mehmood,f2021-119@bnu.edu.pk,Software Engineering,8
F2021-125,Laiba,Rana,f2021-125@bnu.edu.pk,Computer Science,8
F2021-149,Laiba,Sheikh,f2021-149@bnu.edu.pk,Software Engineering,8
F2021-161,Noman,Anwar,f2021-161@bnu.edu.pk,Computer Science,8
F2021-162,Sana,Sheikh,f2021-162@bnu.edu.pk,Computer Science,8
F2021-170,Amina,Ali,f2021-170@bnu.edu.pk,Software Engineering,8
F2021-175,Osama,Farooq,f2021-175@bnu.edu.pk,Computer Science,8
F2021-209,Umair,Ali,f2021-209@bnu.edu.pk,Software Engineering,8
F2021-225,Rabia,Mirza,f2021-225@bnu.edu.pk,Management Business Computing,8
F2021-232,Usman,Zahid,f2021-232@bnu.edu.pk,Management Business Computing,8
F2021-233,Saad,Malik,f2021-233@bnu.edu.pk,Management Business Computing,8
F2021-235,Ahsan,Anwar,f2021-235@bnu.edu.pk,Management Business Computing,8
F2021-246,Amina,Farooq,f2021-246@bnu.edu.pk,Computer Science,8
F2021-257,Emaan,Zahid,f2021-257@bnu.edu.pk,Management Business Computing,8
F2021-271,Saad,Hussain,f2021-271@bnu.edu.pk,Management Business Computing,8
F2021-273,Saad,Chaudhry,f2021-273@bnu.edu.pk,Computer Science,8
F2021-290,Hassan,Ahmed,f2021-290@bnu.edu.pk,Management Business Computing,8
F2021-303,Iqra,Tariq,f2021-303@bnu.edu.pk,Management Business Computing,8
F2021-307,Laiba,Mirza,f2021-307@bnu.edu.pk,Management Business Computing,8
F2021-319,Shahid,Farooq,f2021-319@bnu.edu.pk,Management Business Computing,8
F2021-341,Maha,Mirza,f2021-341@bnu.edu.pk,Management Business Computing,8
F2021-349,Hassan,Qureshi,f2021-349@bnu.edu.pk,Management Business Computing,8
F2021-384,Hina,Mirza,f2021-384@bnu.edu.pk,Software Engineering,8
F2021-387,Umair,Sheikh,f2021-387@bnu.edu.pk,Software Engineering,8
F2021-390,Yasir,Sheikh,f2021-390@bnu.edu.pk,Software Engineering,8
F2021-391,Asma,Javed,f2021-391@bnu.edu.pk,Management Business Computing,8
F2021-418,Ahsan,Sheikh,f2021-418@bnu.edu.pk,Computer Science,8
F2021-419,Maha,Mirza,f2021-419@bnu.edu.pk,Software Engineering,8
F2021-420,Ahsan,Chaudhry,f2021-420@bnu.edu.pk,Management Business Computing,8
F2021-440,Hina,Tariq,f2021-440@bnu.edu.pk,Software Engineering,8
F2021-447,Dua,Tariq,f2021-447@bnu.edu.pk,Management Business Computing,8
F2021-455,Shahid,Aslam,f2021-455@bnu.edu.pk,Computer Science,8
F2021-458,Maha,Chaudhry,f2021-458@bnu.edu.pk,Management Business Computing,8
F2021-468,Kiran,Khan,f2021-468@bnu.edu.pk,Software Engineering,8
F2021-473,Fatima,Aslam,f2021-473@bnu.edu.pk,Computer Science,8
F2021-474,Sana,Sheikh,f2021-474@bnu.edu.pk,Software Engineering,8
F2021-480,Laiba,Aslam,f2021-480@bnu.edu.pk,Management Business Computing,8
F2021-481,Bilal,Anwar,f2021-481@bnu.edu.pk,Software Engineering,8
F2021-482,Umair,Farooq,f2021-482@bnu.edu.pk,Management Business Computing,8
F2021-484,Kiran,Rana,f2021-484@bnu.edu.pk,Computer Science,8
F2021-506,Nadia,Sheikh,f2021-506@bnu.edu.pk,Software Engineering,8
F2021-508,Junaid,Chaudhry,f2021-508@bnu.edu.pk,Computer Science,8
F2021-510,Rabia,Javed,f2021-510@bnu.edu.pk,Management Business Computing,8
F2021-511,Saad,Chaudhry,f2021-511@bnu.edu.pk,Management Business Computing,8
F2021-521,Emaan,Zahid,f2021-521@bnu.edu.pk,Management Business Computing,8
F2021-531,Ali,Hussain,f2021-531@bnu.edu.pk,Software Engineering,8
F2021-544,Bilal,Javed,f2021-544@bnu.edu.pk,Software Engineering,8
